Date,Outlet_ID,Campaign_ID,Product_Type,Targeting,Segment,Keyword,Ad_Sales,Ad_Spend,Unused_Meta_Data
2025-01-03,OUT_065,C_1380,BOS,Flexible,Lapsed,burger,1075,161.25,OLD_SYSTEM_REF
2025-01-03,OUT_066,C_7796,Visit Pack,Fixed,LM,N/A,806,120.89999999999999,OLD_SYSTEM_REF
2025-01-03,OUT_072,C_6735,PSP,Flexible,Repeat,N/A,759,113.85,OLD_SYSTEM_REF
2025-01-03,OUT_085,C_6334,BOS,Flexible,MM,dosa,1574,236.1,OLD_SYSTEM_REF
2025-01-03,OUT_097,C_9843,BOS,Flexible,Lapsed,burger,563,84.45,OLD_SYSTEM_REF
2025-01-04,OUT_002,C_9324,PSP,Flexible,LM,N/A,1662,249.29999999999998,OLD_SYSTEM_REF
2025-01-04,OUT_007,C_1738,Visit Pack,Fixed,Lapsed,N/A,1610,241.5,OLD_SYSTEM_REF
2025-01-04,OUT_023,C_6827,Visit Pack,Fixed,Repeat,N/A,1872,280.8,OLD_SYSTEM_REF
2025-01-04,OUT_024,C_9264,Visit Pack,Fixed,Repeat,N/A,1718,257.7,OLD_SYSTEM_REF
2025-01-04,OUT_025,C_9944,BOS,Flexible,UM,burger,1765,264.75,OLD_SYSTEM_REF
2025-01-04,OUT_033,C_7592,PSP,Flexible,LM,N/A,1719,257.84999999999997,OLD_SYSTEM_REF
2025-01-04,OUT_041,C_6538,Visit Pack,Fixed,UM,N/A,1691,253.64999999999998,OLD_SYSTEM_REF
2025-01-04,OUT_052,C_1727,BOS,Flexible,UM,pizza,1889,283.34999999999997,OLD_SYSTEM_REF
2025-01-04,OUT_063,C_9447,Visit Pack,Fixed,LM,N/A,1050,157.5,OLD_SYSTEM_REF
2025-01-04,OUT_065,C_3741,Visit Pack,Fixed,Lapsed,N/A,1837,275.55,OLD_SYSTEM_REF
2025-01-04,OUT_068,C_1189,BOS,Flexible,UM,manchurian,1245,186.75,OLD_SYSTEM_REF
2025-01-04,OUT_071,C_6796,PSP,Flexible,Repeat,N/A,1403,210.45,OLD_SYSTEM_REF
2025-01-04,OUT_072,C_2517,BOS,Flexible,LM,dal makhani,1524,228.6,OLD_SYSTEM_REF
2025-01-04,OUT_080,C_7122,PSP,Flexible,UM,N/A,1955,293.25,OLD_SYSTEM_REF
2025-01-04,OUT_090,C_9068,PSP,Flexible,UM,N/A,1353,202.95,OLD_SYSTEM_REF
2025-01-04,OUT_095,C_3669,Visit Pack,Fixed,Lapsed,N/A,1802,270.3,OLD_SYSTEM_REF
2025-01-04,OUT_100,C_2661,BOS,Flexible,Lapsed,dosa,1105,165.75,OLD_SYSTEM_REF
2025-01-05,OUT_002,C_4604,BOS,Flexible,MM,dal makhani,1431,214.65,OLD_SYSTEM_REF
2025-01-05,OUT_004,C_5578,Visit Pack,Fixed,Lapsed,N/A,1742,261.3,OLD_SYSTEM_REF
2025-01-05,OUT_007,C_1677,PSP,Flexible,UM,N/A,1214,182.1,OLD_SYSTEM_REF
2025-01-05,OUT_019,C_2740,PSP,Flexible,UM,N/A,886,132.9,OLD_SYSTEM_REF
2025-01-05,OUT_035,C_2931,Visit Pack,Fixed,Lapsed,N/A,815,122.25,OLD_SYSTEM_REF
2025-01-05,OUT_038,C_2989,Visit Pack,Fixed,MM,N/A,1794,269.09999999999997,OLD_SYSTEM_REF
2025-01-05,OUT_046,C_6851,PSP,Flexible,Lapsed,N/A,1568,235.2,OLD_SYSTEM_REF
2025-01-05,OUT_051,C_3468,PSP,Flexible,MM,N/A,1922,288.3,OLD_SYSTEM_REF
2025-01-05,OUT_052,C_6584,PSP,Flexible,Lapsed,N/A,1684,252.6,OLD_SYSTEM_REF
2025-01-05,OUT_058,C_7339,Visit Pack,Fixed,UM,N/A,1187,178.04999999999998,OLD_SYSTEM_REF
2025-01-05,OUT_065,C_1802,Visit Pack,Fixed,MM,N/A,577,86.55,OLD_SYSTEM_REF
2025-01-05,OUT_067,C_7634,Visit Pack,Fixed,LM,N/A,1701,255.14999999999998,OLD_SYSTEM_REF
2025-01-05,OUT_080,C_4868,Visit Pack,Fixed,LM,N/A,723,108.45,OLD_SYSTEM_REF
2025-01-05,OUT_085,C_1189,PSP,Flexible,Lapsed,N/A,1703,255.45,OLD_SYSTEM_REF
2025-01-05,OUT_092,C_5297,PSP,Flexible,LM,N/A,1726,258.9,OLD_SYSTEM_REF
2025-01-05,OUT_100,C_3320,PSP,Flexible,Lapsed,N/A,1448,217.2,OLD_SYSTEM_REF
2025-01-06,OUT_002,C_1263,Visit Pack,Fixed,LM,N/A,1595,239.25,OLD_SYSTEM_REF
2025-01-06,OUT_008,C_9743,Visit Pack,Fixed,LM,N/A,1864,279.59999999999997,OLD_SYSTEM_REF
2025-01-06,OUT_014,C_7401,Visit Pack,Fixed,LM,N/A,1235,185.25,OLD_SYSTEM_REF
2025-01-06,OUT_018,C_7149,PSP,Flexible,Lapsed,N/A,1613,241.95,OLD_SYSTEM_REF
2025-01-06,OUT_021,C_7347,BOS,Flexible,MM,dosa,1080,162.0,OLD_SYSTEM_REF
2025-01-06,OUT_025,C_7339,PSP,Flexible,MM,N/A,1292,193.79999999999998,OLD_SYSTEM_REF
2025-01-06,OUT_040,C_7200,PSP,Flexible,MM,N/A,1218,182.7,OLD_SYSTEM_REF
2025-01-06,OUT_045,C_9146,PSP,Flexible,MM,N/A,1917,287.55,OLD_SYSTEM_REF
2025-01-06,OUT_048,C_5481,Visit Pack,Fixed,MM,N/A,509,76.35,OLD_SYSTEM_REF
2025-01-06,OUT_054,C_9560,PSP,Flexible,Lapsed,N/A,730,109.5,OLD_SYSTEM_REF
2025-01-06,OUT_057,C_2769,Visit Pack,Fixed,LM,N/A,752,112.8,OLD_SYSTEM_REF
2025-01-06,OUT_059,C_1135,Visit Pack,Fixed,LM,N/A,1002,150.29999999999998,OLD_SYSTEM_REF
2025-01-06,OUT_064,C_9438,Visit Pack,Fixed,LM,N/A,1715,257.25,OLD_SYSTEM_REF
2025-01-06,OUT_071,C_3078,Visit Pack,Fixed,UM,N/A,1113,166.95,OLD_SYSTEM_REF
2025-01-06,OUT_072,C_3406,Visit Pack,Fixed,Lapsed,N/A,748,112.2,OLD_SYSTEM_REF
2025-01-06,OUT_082,C_8954,BOS,Flexible,Lapsed,dosa,1904,285.59999999999997,OLD_SYSTEM_REF
2025-01-06,OUT_086,C_8628,BOS,Flexible,Repeat,dal makhani,947,142.04999999999998,OLD_SYSTEM_REF
2025-01-06,OUT_092,C_7997,Visit Pack,Fixed,Lapsed,N/A,1727,259.05,OLD_SYSTEM_REF
2025-01-06,OUT_093,C_4555,Visit Pack,Fixed,Repeat,N/A,980,147.0,OLD_SYSTEM_REF
2025-01-06,OUT_098,C_1253,Visit Pack,Fixed,UM,N/A,1199,179.85,OLD_SYSTEM_REF
2025-01-07,OUT_001,C_3664,PSP,Flexible,Repeat,N/A,1512,226.79999999999998,OLD_SYSTEM_REF
2025-01-07,OUT_014,C_5923,Visit Pack,Fixed,Lapsed,N/A,564,84.6,OLD_SYSTEM_REF
2025-01-07,OUT_017,C_3442,PSP,Flexible,LM,N/A,1757,263.55,OLD_SYSTEM_REF
2025-01-07,OUT_020,C_4319,PSP,Flexible,LM,N/A,668,100.2,OLD_SYSTEM_REF
2025-01-07,OUT_021,C_9624,PSP,Flexible,Lapsed,N/A,1505,225.75,OLD_SYSTEM_REF
2025-01-07,OUT_032,C_8231,PSP,Flexible,Repeat,N/A,859,128.85,OLD_SYSTEM_REF
2025-01-07,OUT_036,C_9852,Visit Pack,Fixed,Lapsed,N/A,1489,223.35,OLD_SYSTEM_REF
2025-01-07,OUT_043,C_8743,BOS,Flexible,LM,manchurian,899,134.85,OLD_SYSTEM_REF
2025-01-07,OUT_050,C_3232,PSP,Flexible,Repeat,N/A,725,108.75,OLD_SYSTEM_REF
2025-01-07,OUT_051,C_1564,BOS,Flexible,Repeat,manchurian,885,132.75,OLD_SYSTEM_REF
2025-01-07,OUT_059,C_2337,PSP,Flexible,LM,N/A,1188,178.2,OLD_SYSTEM_REF
2025-01-07,OUT_084,C_4375,Visit Pack,Fixed,LM,N/A,1273,190.95,OLD_SYSTEM_REF
2025-01-07,OUT_096,C_9384,PSP,Flexible,Repeat,N/A,1570,235.5,OLD_SYSTEM_REF
2025-01-07,OUT_097,C_3143,BOS,Flexible,UM,burger,1636,245.39999999999998,OLD_SYSTEM_REF
2025-01-08,OUT_005,C_1737,PSP,Flexible,MM,N/A,1900,285.0,OLD_SYSTEM_REF
2025-01-08,OUT_007,C_4753,Visit Pack,Fixed,Lapsed,N/A,1299,194.85,OLD_SYSTEM_REF
2025-01-08,OUT_014,C_9607,PSP,Flexible,MM,N/A,1850,277.5,OLD_SYSTEM_REF
2025-01-08,OUT_027,C_8361,BOS,Flexible,Repeat,manchurian,1816,272.4,OLD_SYSTEM_REF
2025-01-08,OUT_029,C_3533,BOS,Flexible,UM,dosa,1782,267.3,OLD_SYSTEM_REF
2025-01-08,OUT_031,C_9827,BOS,Flexible,MM,manchurian,593,88.95,OLD_SYSTEM_REF
2025-01-08,OUT_032,C_9248,Visit Pack,Fixed,Repeat,N/A,891,133.65,OLD_SYSTEM_REF
2025-01-08,OUT_038,C_4530,PSP,Flexible,Lapsed,N/A,594,89.1,OLD_SYSTEM_REF
2025-01-08,OUT_048,C_7568,PSP,Flexible,Repeat,N/A,1713,256.95,OLD_SYSTEM_REF
2025-01-08,OUT_049,C_9897,PSP,Flexible,LM,N/A,1472,220.79999999999998,OLD_SYSTEM_REF
2025-01-08,OUT_051,C_5134,Visit Pack,Fixed,LM,N/A,1729,259.34999999999997,OLD_SYSTEM_REF
2025-01-08,OUT_058,C_6067,BOS,Flexible,Repeat,dosa,711,106.64999999999999,OLD_SYSTEM_REF
2025-01-08,OUT_060,C_3970,PSP,Flexible,UM,N/A,1287,193.04999999999998,OLD_SYSTEM_REF
2025-01-08,OUT_061,C_4850,PSP,Flexible,Repeat,N/A,1005,150.75,OLD_SYSTEM_REF
2025-01-08,OUT_063,C_1310,BOS,Flexible,LM,burger,1486,222.9,OLD_SYSTEM_REF
2025-01-08,OUT_070,C_6538,PSP,Flexible,Lapsed,N/A,904,135.6,OLD_SYSTEM_REF
2025-01-08,OUT_078,C_5042,BOS,Flexible,Repeat,burger,569,85.35,OLD_SYSTEM_REF
2025-01-08,OUT_080,C_4417,Visit Pack,Fixed,Repeat,N/A,1533,229.95,OLD_SYSTEM_REF
2025-01-08,OUT_081,C_7453,BOS,Flexible,LM,pizza,723,108.45,OLD_SYSTEM_REF
2025-01-08,OUT_083,C_8556,PSP,Flexible,Repeat,N/A,1099,164.85,OLD_SYSTEM_REF
2025-01-08,OUT_092,C_2195,PSP,Flexible,Lapsed,N/A,881,132.15,OLD_SYSTEM_REF
2025-01-08,OUT_096,C_9919,BOS,Flexible,LM,burger,1943,291.45,OLD_SYSTEM_REF
2025-01-08,OUT_097,C_3134,PSP,Flexible,MM,N/A,1123,168.45,OLD_SYSTEM_REF
2025-01-09,OUT_004,C_2228,Visit Pack,Fixed,UM,N/A,1630,244.5,OLD_SYSTEM_REF
2025-01-09,OUT_006,C_9612,PSP,Flexible,UM,N/A,636,95.39999999999999,OLD_SYSTEM_REF
2025-01-09,OUT_008,C_7761,Visit Pack,Fixed,LM,N/A,985,147.75,OLD_SYSTEM_REF
2025-01-09,OUT_010,C_5285,Visit Pack,Fixed,Lapsed,N/A,1422,213.29999999999998,OLD_SYSTEM_REF
2025-01-09,OUT_012,C_9594,BOS,Flexible,Repeat,dal makhani,731,109.64999999999999,OLD_SYSTEM_REF
2025-01-09,OUT_013,C_5097,PSP,Flexible,Repeat,N/A,1796,269.4,OLD_SYSTEM_REF
2025-01-09,OUT_015,C_2467,BOS,Flexible,LM,dosa,688,103.2,OLD_SYSTEM_REF
2025-01-09,OUT_029,C_4173,Visit Pack,Fixed,Repeat,N/A,1389,208.35,OLD_SYSTEM_REF
2025-01-09,OUT_030,C_4665,PSP,Flexible,MM,N/A,513,76.95,OLD_SYSTEM_REF
2025-01-09,OUT_031,C_7339,BOS,Flexible,Lapsed,manchurian,595,89.25,OLD_SYSTEM_REF
2025-01-09,OUT_043,C_8649,PSP,Flexible,UM,N/A,609,91.35,OLD_SYSTEM_REF
2025-01-09,OUT_044,C_6499,BOS,Flexible,LM,dal makhani,1427,214.04999999999998,OLD_SYSTEM_REF
2025-01-09,OUT_046,C_9177,PSP,Flexible,MM,N/A,1515,227.25,OLD_SYSTEM_REF
2025-01-09,OUT_048,C_1075,PSP,Flexible,Lapsed,N/A,1215,182.25,OLD_SYSTEM_REF
2025-01-09,OUT_056,C_6620,BOS,Flexible,Lapsed,dal makhani,632,94.8,OLD_SYSTEM_REF
2025-01-09,OUT_072,C_3463,Visit Pack,Fixed,Repeat,N/A,507,76.05,OLD_SYSTEM_REF
2025-01-09,OUT_099,C_6972,Visit Pack,Fixed,MM,N/A,1764,264.59999999999997,OLD_SYSTEM_REF
2025-01-10,OUT_001,C_1091,BOS,Flexible,Lapsed,dal makhani,778,116.69999999999999,OLD_SYSTEM_REF
2025-01-10,OUT_010,C_6724,PSP,Flexible,LM,N/A,1015,152.25,OLD_SYSTEM_REF
2025-01-10,OUT_015,C_9717,Visit Pack,Fixed,MM,N/A,901,135.15,OLD_SYSTEM_REF
2025-01-10,OUT_016,C_7092,BOS,Flexible,Repeat,dosa,1016,152.4,OLD_SYSTEM_REF
2025-01-10,OUT_018,C_2980,BOS,Flexible,MM,pizza,1363,204.45,OLD_SYSTEM_REF
2025-01-10,OUT_028,C_2431,PSP,Flexible,LM,N/A,1282,192.29999999999998,OLD_SYSTEM_REF
2025-01-10,OUT_029,C_4578,PSP,Flexible,MM,N/A,1224,183.6,OLD_SYSTEM_REF
2025-01-10,OUT_034,C_3312,BOS,Flexible,Repeat,dosa,1576,236.39999999999998,OLD_SYSTEM_REF
2025-01-10,OUT_050,C_3236,Visit Pack,Fixed,Repeat,N/A,1237,185.54999999999998,OLD_SYSTEM_REF
2025-01-10,OUT_051,C_8774,BOS,Flexible,LM,manchurian,1508,226.2,OLD_SYSTEM_REF
2025-01-10,OUT_052,C_3402,BOS,Flexible,UM,pizza,830,124.5,OLD_SYSTEM_REF
2025-01-10,OUT_057,C_1346,Visit Pack,Fixed,MM,N/A,1597,239.54999999999998,OLD_SYSTEM_REF
2025-01-10,OUT_064,C_9482,PSP,Flexible,LM,N/A,876,131.4,OLD_SYSTEM_REF
2025-01-10,OUT_072,C_5318,Visit Pack,Fixed,LM,N/A,824,123.6,OLD_SYSTEM_REF
2025-01-10,OUT_081,C_4005,PSP,Flexible,Repeat,N/A,708,106.2,OLD_SYSTEM_REF
2025-01-10,OUT_082,C_1475,PSP,Flexible,Repeat,N/A,1987,298.05,OLD_SYSTEM_REF
2025-01-10,OUT_099,C_8564,PSP,Flexible,LM,N/A,1515,227.25,OLD_SYSTEM_REF
2025-01-11,OUT_011,C_9274,BOS,Flexible,UM,burger,1525,228.75,OLD_SYSTEM_REF
2025-01-11,OUT_013,C_7626,Visit Pack,Fixed,LM,N/A,1638,245.7,OLD_SYSTEM_REF
2025-01-11,OUT_014,C_8001,Visit Pack,Fixed,LM,N/A,1097,164.54999999999998,OLD_SYSTEM_REF
2025-01-11,OUT_015,C_8455,Visit Pack,Fixed,Lapsed,N/A,1863,279.45,OLD_SYSTEM_REF
2025-01-11,OUT_022,C_4735,Visit Pack,Fixed,LM,N/A,613,91.95,OLD_SYSTEM_REF
2025-01-11,OUT_030,C_5297,PSP,Flexible,Lapsed,N/A,909,136.35,OLD_SYSTEM_REF
2025-01-11,OUT_031,C_9422,Visit Pack,Fixed,UM,N/A,673,100.95,OLD_SYSTEM_REF
2025-01-11,OUT_033,C_9291,PSP,Flexible,MM,N/A,1496,224.4,OLD_SYSTEM_REF
2025-01-11,OUT_039,C_9507,PSP,Flexible,LM,N/A,1787,268.05,OLD_SYSTEM_REF
2025-01-11,OUT_045,C_6168,BOS,Flexible,Lapsed,burger,976,146.4,OLD_SYSTEM_REF
2025-01-11,OUT_047,C_1551,Visit Pack,Fixed,Repeat,N/A,1547,232.04999999999998,OLD_SYSTEM_REF
2025-01-11,OUT_050,C_6607,BOS,Flexible,MM,pizza,1085,162.75,OLD_SYSTEM_REF
2025-01-11,OUT_053,C_6924,BOS,Flexible,MM,manchurian,1570,235.5,OLD_SYSTEM_REF
2025-01-11,OUT_056,C_7589,Visit Pack,Fixed,Repeat,N/A,723,108.45,OLD_SYSTEM_REF
2025-01-11,OUT_057,C_3705,Visit Pack,Fixed,MM,N/A,1442,216.29999999999998,OLD_SYSTEM_REF
2025-01-11,OUT_063,C_2922,BOS,Flexible,LM,burger,1683,252.45,OLD_SYSTEM_REF
2025-01-11,OUT_066,C_8584,Visit Pack,Fixed,MM,N/A,1349,202.35,OLD_SYSTEM_REF
2025-01-11,OUT_068,C_6853,Visit Pack,Fixed,MM,N/A,1768,265.2,OLD_SYSTEM_REF
2025-01-11,OUT_069,C_1071,PSP,Flexible,UM,N/A,1340,201.0,OLD_SYSTEM_REF
2025-01-11,OUT_080,C_3038,BOS,Flexible,UM,manchurian,1388,208.2,OLD_SYSTEM_REF
2025-01-11,OUT_083,C_5871,PSP,Flexible,Lapsed,N/A,627,94.05,OLD_SYSTEM_REF
2025-01-11,OUT_094,C_6398,BOS,Flexible,LM,dosa,1987,298.05,OLD_SYSTEM_REF
2025-01-11,OUT_098,C_8962,Visit Pack,Fixed,MM,N/A,742,111.3,OLD_SYSTEM_REF
2025-01-11,OUT_100,C_3262,BOS,Flexible,Repeat,dosa,899,134.85,OLD_SYSTEM_REF
2025-01-12,OUT_005,C_4025,PSP,Flexible,LM,N/A,784,117.6,OLD_SYSTEM_REF
2025-01-12,OUT_014,C_9409,Visit Pack,Fixed,UM,N/A,868,130.2,OLD_SYSTEM_REF
2025-01-12,OUT_034,C_5720,PSP,Flexible,Repeat,N/A,1053,157.95,OLD_SYSTEM_REF
2025-01-12,OUT_036,C_1438,PSP,Flexible,Repeat,N/A,793,118.94999999999999,OLD_SYSTEM_REF
2025-01-12,OUT_047,C_9319,Visit Pack,Fixed,MM,N/A,1373,205.95,OLD_SYSTEM_REF
2025-01-12,OUT_060,C_9426,Visit Pack,Fixed,Repeat,N/A,1085,162.75,OLD_SYSTEM_REF
2025-01-12,OUT_061,C_5068,PSP,Flexible,Repeat,N/A,1392,208.79999999999998,OLD_SYSTEM_REF
2025-01-12,OUT_064,C_5669,Visit Pack,Fixed,LM,N/A,1076,161.4,OLD_SYSTEM_REF
2025-01-12,OUT_076,C_6585,BOS,Flexible,Repeat,dosa,1419,212.85,OLD_SYSTEM_REF
2025-01-12,OUT_079,C_4620,PSP,Flexible,LM,N/A,876,131.4,OLD_SYSTEM_REF
2025-01-12,OUT_086,C_3030,PSP,Flexible,MM,N/A,1187,178.04999999999998,OLD_SYSTEM_REF
2025-01-12,OUT_092,C_5637,Visit Pack,Fixed,LM,N/A,1728,259.2,OLD_SYSTEM_REF
2025-01-12,OUT_096,C_1809,BOS,Flexible,UM,burger,999,149.85,OLD_SYSTEM_REF
2025-01-13,OUT_007,C_7946,Visit Pack,Fixed,Lapsed,N/A,1569,235.35,OLD_SYSTEM_REF
2025-01-13,OUT_017,C_6834,BOS,Flexible,UM,pizza,1695,254.25,OLD_SYSTEM_REF
2025-01-13,OUT_021,C_1832,PSP,Flexible,LM,N/A,1603,240.45,OLD_SYSTEM_REF
2025-01-13,OUT_028,C_8484,BOS,Flexible,Lapsed,dal makhani,551,82.64999999999999,OLD_SYSTEM_REF
2025-01-13,OUT_032,C_4974,BOS,Flexible,UM,manchurian,588,88.2,OLD_SYSTEM_REF
2025-01-13,OUT_041,C_1547,Visit Pack,Fixed,LM,N/A,1098,164.7,OLD_SYSTEM_REF
2025-01-13,OUT_044,C_2521,Visit Pack,Fixed,UM,N/A,989,148.35,OLD_SYSTEM_REF
2025-01-13,OUT_047,C_5670,PSP,Flexible,UM,N/A,1697,254.54999999999998,OLD_SYSTEM_REF
2025-01-13,OUT_048,C_4110,BOS,Flexible,MM,burger,1237,185.54999999999998,OLD_SYSTEM_REF
2025-01-13,OUT_053,C_4869,Visit Pack,Fixed,Lapsed,N/A,644,96.6,OLD_SYSTEM_REF
2025-01-13,OUT_056,C_2028,BOS,Flexible,Lapsed,dal makhani,928,139.2,OLD_SYSTEM_REF
2025-01-13,OUT_062,C_8418,PSP,Flexible,Repeat,N/A,1169,175.35,OLD_SYSTEM_REF
2025-01-13,OUT_067,C_9907,Visit Pack,Fixed,MM,N/A,1756,263.4,OLD_SYSTEM_REF
2025-01-13,OUT_070,C_7631,Visit Pack,Fixed,Repeat,N/A,915,137.25,OLD_SYSTEM_REF
2025-01-13,OUT_076,C_4180,PSP,Flexible,MM,N/A,1205,180.75,OLD_SYSTEM_REF
2025-01-14,OUT_005,C_5573,BOS,Flexible,UM,dosa,599,89.85,OLD_SYSTEM_REF
2025-01-14,OUT_010,C_7144,BOS,Flexible,LM,pizza,583,87.45,OLD_SYSTEM_REF
2025-01-14,OUT_016,C_9810,Visit Pack,Fixed,MM,N/A,1814,272.09999999999997,OLD_SYSTEM_REF
2025-01-14,OUT_024,C_9038,PSP,Flexible,MM,N/A,1754,263.09999999999997,OLD_SYSTEM_REF
2025-01-14,OUT_025,C_4711,Visit Pack,Fixed,Repeat,N/A,1091,163.65,OLD_SYSTEM_REF
2025-01-14,OUT_032,C_7777,BOS,Flexible,Repeat,manchurian,1914,287.09999999999997,OLD_SYSTEM_REF
2025-01-14,OUT_055,C_6526,PSP,Flexible,UM,N/A,590,88.5,OLD_SYSTEM_REF
2025-01-14,OUT_057,C_8847,PSP,Flexible,Repeat,N/A,785,117.75,OLD_SYSTEM_REF
2025-01-14,OUT_066,C_6818,PSP,Flexible,MM,N/A,1659,248.85,OLD_SYSTEM_REF
2025-01-14,OUT_069,C_5781,Visit Pack,Fixed,MM,N/A,1026,153.9,OLD_SYSTEM_REF
2025-01-14,OUT_070,C_9357,BOS,Flexible,Repeat,dosa,942,141.29999999999998,OLD_SYSTEM_REF
